Date,Time,SubjectCode,Group,Room,StudentIDRange
2025-10-20,09:00-12:00,01403117-65,700,LH 3-301,6820500491-6820502613
2025-10-20,09:00-12:00,01403117-65,700,LH 2-301,6820502621-6820504063
2025-10-20,09:00-12:00,01403117-65,701,LH 2-302,6520502791-6820501404
2025-10-20,09:00-12:00,01403117-65,701,LH 2-303,6820501412-6820503466
2025-10-20,09:00-12:00,01403117-65,702,LH 2-304,6520502944-6820504284
2025-10-20,09:00-12:00,01403117-65,702,LH 3-209,6820504292-6821609471
2025-10-20,09:00-12:00,01403117-65,820,LH 4-503,
2025-10-20,09:00-12:00,01403117-65,845,LH 4-503,6320550490-6820550413
2025-10-20,09:00-12:00,01403117-65,845,LH 3-210,6820550430-6820550871
2025-10-20,09:00-12:00,02731111-65,700,LH 3-303,6520601446-6820602979
2025-10-20,09:00-12:00,02731111-65,700,LH 3-304,6820602987-6821607231
2025-10-20,09:00-12:00,01358103-67,700,LH 4-502,
2025-10-20,09:00-12:00,01358103-67,702,LH 4-502,
2025-10-20,09:00-12:00,01358103-67,701,LH 4-201,
2025-10-20,09:00-12:00,01358103-67,809,LH 4-201,
2025-10-20,09:00-12:00,01358103-67,810,LH 4-201,
2025-10-20,09:00-12:00,01416311-65,700,LH 4-305,6320102799-6620200460
2025-10-20,09:00-12:00,01416311-65,700,LH 4-306,6620200478-6720101633
2025-10-20,09:00-12:00,01416311-65,701,LH 4-306,6320200065-6721604728
2025-10-20,09:00-12:00,01416311-65,701,LH 4-202,6721604744-6820105291
2025-10-20,13:00-15:00,02029211-66,700,LH 4-305,
2025-10-20,13:00-15:00,02029211-61,700,LH 4-305,
2025-10-20,13:00-15:00,01361101-67,700,KH 80-202,6521800515-6621806582
2025-10-20,13:00-15:00,01361101-67,700,KH 80-203,6621806591-6621807457
2025-10-20,13:00-15:00,01361101-67,701,KH 80-203,6420501393-6821601216
2025-10-20,13:00-15:00,01361101-67,701,KH 80-205,6821601224-6821601631
2025-10-20,13:00-15:00,01361101-67,702,KH 80-205,6521800728-6821607559
2025-10-20,13:00-15:00,01361101-67,702,KH 80-206,6821607575-6821608172
2025-10-20,13:00-15:00,01361101-67,855,KH 80-206,
2025-10-20,13:00-15:00,01361101-67,800,KH 80-207,
2025-10-20,13:00-15:00,01361101-67,876,KH 80-208,
